question,answer,category,num_evidence,BM25,TF-IDF,SVM,FAISS,Time-Weighted,any_retriever_found
What authors has Tim read books from?,"J.K. Rowling, R.R. Martin, Patrick Rothfuss, Paulo Coelho, and J. R. R. Tolkien.",1,7,0,0,0,0,0,0
What is a prominent charity organization that John might want to work with and why?,"Good Sports, because they work with Nike, Gatorade, and Under Armour and they aim toprovide youth sports opportunities for kids ages 3-18 in high-need communities.",3,3,1,1,0,0,0,1
Which city was John in before traveling to Chicago?,Seattle,2,4,1,1,1,1,0,1
Which US cities does John mention visiting to Tim?,"Seattle, Chicago, New York",1,3,1,1,0,0,0,1
When did John meet with his teammates after returning from Chicago?,"August 15, 2023",2,1,0,0,0,0,0,0
When is Tim attending a book conference?,September 2023,2,1,1,0,1,1,0,1
Where was John between August 11 and August 15 2023?,Chicago,2,3,0,0,0,0,0,0
What similar sports collectible do Tim and John own?,signed basketball,1,4,0,0,0,0,0,0
Which TV series does Tim mention watching?,"That, Wheel of Time",1,3,0,0,1,1,0,1
Which popular time management technique does Tim use to prepare for exams?,Pomodoro technique,3,2,0,0,1,1,0,1
Which popular music composer's tunes does Tim enjoy playing on the piano?,John Williams,3,2,1,1,1,1,0,1
What schools did John play basketball in and how many years was he with his team during high school?,"Middle school, high school, and college and he was with his high school team for 4 years.",1,2,1,1,0,1,0,1
Which cities has John been to?,"Seattle, Chicago, New York, and Paris.",1,4,0,1,0,0,0,1
What month did Tim plan on going to Universal Studios?,"September, 2023",2,1,1,1,0,0,0,1
Which US states might Tim be in during September 2023 based on his plans of visiting Universal Studios?,California or Florida,3,1,1,1,0,0,0,1
When does John plan on traveling with his team on a team trip?,"October, 2023",2,1,0,0,1,1,0,1
What could John do after his basketball career?,become a basketball coach since he likes giving back and leadership,3,3,0,0,0,0,0,0
What outdoor activities does John enjoy?,"Hiking, surfing",1,2,0,0,0,0,0,0
Who is Tim and John's favorite basketball player?,LeBron James,1,3,0,0,0,0,0,0
Which week did Tim visit the UK for the Harry Potter Conference?,"The week before October 13th, 2023.",2,1,1,1,1,1,0,1
which country has Tim visited most frequently in his travels?,UK,1,3,0,0,0,0,0,0
What year did Tim go to the Smoky Mountains?,2022,2,1,1,1,1,1,0,1
Has Tim been to North Carolina and/or Tennesee states in the US?,Yes,2,1,0,0,0,0,0,0
What kind of fiction stories does Tim write?,Fantasy stories with plot twists,1,2,0,0,0,0,0,0
What has John cooked?,"Soup, a slow cooker meal, and honey garlic chicken with roasted veg.",1,4,0,0,0,0,0,0
What does John like about Lebron James?,"His heart, determination, skills, and leadership.",1,2,0,0,1,1,0,1
When did John and his wife go on a European vacation?,"November, 2023.",2,1,1,1,0,1,0,1
Which country was Tim visiting in the second week of November?,UK,2,1,0,0,0,0,0,0
Where was Tim in the week before 16 November 2023?,UK,2,1,0,0,0,0,0,0
When did John get married at a greenhouse?,last week of September 2023,2,1,0,0,0,0,0,0
When did John get an ankle injury in 2023?,"around November 16, 2023",1,1,0,0,0,0,0,0
How many times has John injured his ankle?,two times,1,2,0,0,0,0,0,0
Which book was John reading during his recovery from an ankle injury?,The Alchemist,1,2,0,0,0,0,0,0
What kind of yoga for building core strength might John benefit from?,Hatha Yoga,3,1,0,0,0,0,0,0
What does John do to supplement his basketball training?,"Yoga, strength training",1,2,0,0,0,1,0,1
What other exercises can help John with his basketball performance?,"Sprinting, long-distance running, and boxing.",3,2,0,0,0,1,0,1
When did John take a trip to the Rocky Mountains?,2022,2,1,1,1,0,0,0,1
When did John start playing professionally?,"May, 2023",2,2,1,1,0,0,0,1
When did Tim start playing the violin?,August 2023,2,1,0,0,0,0,0,0
What instruments does Tim play?,"piano, violin",1,2,0,0,0,0,0,0
When did John attend the Harry Potter trivia?,August 2023.,2,2,1,1,1,1,0,1
Which career-high performances did John achieve in 2023?,"highest point score, highest assist",1,2,0,0,0,0,0,0
When did John achieve a career-high assist performance?,"December 11, 2023",2,1,0,0,0,0,0,0
What books has John read?,"inpsiring book on dreaming big, The Alchemist, fantasy series, non-fiction books on personal development, Dune",1,6,0,0,0,0,0,0
What does John do to share his knowledge?,"gives seminars, mentors younger players.",1,2,0,0,0,0,0,0
When did John organize a basketball camp for kids?,summer 2023,2,1,1,1,1,1,0,1
Which month was John in Italy?,"December, 2023",2,1,1,1,0,0,0,1
What fantasy movies does Tim like?,"Lord of the Rings, Harry Potter, and Star Wars.",1,5,0,0,0,0,0,0
What is a Star Wars book that Tim might enjoy?,Star Wars: Jedi Apprentice by Judy Blundell and David Farland. It is a highly rated and immersive series about his favorite movies.,3,2,1,1,1,1,0,1
What would be a good hobby related to his travel dreams for Tim to pick up?,Writing a travel blog.,3,4,0,0,0,0,0,0
What day did Tim get into his study abroad program?,"Januarty 5, 2024",2,1,1,1,1,1,0,1
When will Tim leave for Ireland?,"February, 2024",2,1,1,0,1,1,0,1
Which Star Wars-related locations would Tim enjoy during his visit to Ireland?,"Skellig Michael, Malin Head, Loop Head, Ceann Sibéal, and Brow Head because they are Star Wars filming locations.",3,3,1,1,0,0,0,1
"Which team did John sign with on 21 May, 2023?",The Minnesota Wolves,4,1,0,0,0,0,0,0
What is John's position on the team he signed with?,shooting guard,4,1,0,0,0,0,0,0
What challenge did John encounter during pre-season training?,fitting into the new team's style of play,4,1,1,1,1,1,0,1
What aspects of the Harry Potter universe will be discussed in John's fan project collaborations?,"characters, spells, magical creatures",4,1,1,1,1,1,0,1
What forum did Tim join recently?,fantasy literature forum,4,1,0,0,0,0,0,0
What kind of picture did Tim share as part of their Harry Potter book collection?,MinaLima's creation from the Harry Potter films,4,1,1,0,1,1,0,1
What was the highest number of points John scored in a game recently?,40 points,4,1,1,1,1,1,0,1
What did John celebrate at a restaurant with teammates?,a tough win,4,1,0,0,0,0,0,0
What kind of deals did John sign with Nike and Gatorade?,"basketball shoe and gear deal with Nike, potential sponsorship deal with Gatorade",4,1,1,1,1,1,0,1
Which city is John excited to have a game at?,Seattle,4,1,0,0,0,0,0,0
How long has John been surfing?,five years,4,1,0,1,0,1,0,1
How does John feel while surfing?,super exciting and free-feeling,4,1,0,0,0,0,0,0
What kind of articles has Tim been writing about for the online magazine?,"different fantasy novels, characters, themes, and book recommendations",4,1,0,0,0,0,0,0
Which two fantasy novels does Tim particularly enjoy writing about?,Harry Potter and Game of Thrones,4,1,0,0,0,0,0,0
What did Anthony and John end up playing during the charity event?,an intense Harry Potter trivia contest,4,1,1,1,1,0,0,1
What did John share with the person he skyped about?,Characters from Harry Potter,4,1,0,0,0,0,0,0
How did John describe the team bond?,Awesome,4,1,1,1,1,1,0,1
How did John get introduced to basketball?,Dad signed him up for a local league,4,1,0,0,0,0,0,0
What is John's number one goal in his basketball career?,Winning a championship,4,1,1,1,0,1,0,1
What organization is John teaming up with for his charity work?,A local organization helping disadvantaged kids with sports and school,4,1,1,1,0,0,0,1
When did John meet back up with his teammates after his trip in August 2023?,Aug 15th,4,1,1,0,0,0,0,1
What did John's teammates give him when they met on Aug 15th?,a basketball with autographs on it,4,1,0,1,0,0,0,1
Why did John's teammates sign the basketball they gave him?,to show their friendship and appreciation,4,1,0,0,0,0,0,0
What is the main intention behind Tim wanting to attend the book conference?,to learn more about literature and create a stronger bond to it,4,1,1,1,1,1,0,1
What new activity has Tim started learning in August 2023?,play the piano,4,1,0,0,0,0,0,0
Which movie's theme is Tim's favorite to play on the piano?,"""Harry Potter and the Philosopher's Stone""",4,2,1,1,1,1,0,1
"What special memory does ""Harry Potter and the Philosopher's Stone"" bring to Tim?",Watching it with his family,4,1,1,1,1,1,0,1
Which movie does Tim mention they enjoy watching during Thanksgiving?,"""Home Alone""",4,1,1,0,1,1,0,1
What tradition does Tim mention they love during Thanksgiving?,Prepping the feast and talking about what they're thankful for,4,1,1,1,1,1,0,1
How long did John and his high school basketball teammates play together?,Four years,4,1,1,1,0,1,0,1
How was John's experience in New York City?,Amazing,4,1,0,0,0,0,0,0
"What did John say about NYC, enticing Tim to visit?","It's got so much to check out - the culture, food - you won't regret it.",4,1,0,0,1,0,0,1
What kind of soup did John make recently?,tasty soup with sage,4,2,0,1,0,0,0,1
What spice did John add to the soup for flavor?,sage,4,1,1,1,0,0,0,1
What is Tim excited to see at Universal Studios?,The Harry Potter stuff,4,1,0,0,0,0,0,0
Where are John and his teammates planning to explore on a team trip?,a new city,4,1,1,1,0,1,0,1
What city did Tim suggest to John for the team trip next month?,"Edinburgh, Scotland",4,1,0,0,0,0,0,0
What does John want to do after his basketball career?,"positively influence and inspire others, potentially start a foundation and engage in charity work",4,1,0,0,0,0,0,0
What advice did Tim give John about picking endorsements?,"Ensure they align with values and brand, look for companies that share the desire to make a change and help others, make sure the endorsement feels authentic",4,1,1,1,1,1,0,1
What book recommendation did Tim give to John for the trip?,A fantasy novel by Patrick Rothfuss,4,1,0,0,0,0,0,0
What type of venue did John and his girlfriend choose for their wedding ceremony?,Greenhouse,4,1,0,0,0,0,0,0
What was the setting for John and his wife's first dance?,Cozy restaurant,4,1,1,0,0,1,0,1
Which basketball team does Tim support?,The Wolves,4,1,0,0,0,0,0,0
What passion does Tim mention connects him with people from all over the world?,passion for fantasy stuff,4,1,1,0,0,0,0,1
How does John describe the game season for his team?,intense with tough losses and great wins,4,1,0,0,0,0,0,0
How does John say his team handles tough opponents?,by backing each other up and not quitting,4,1,1,1,0,1,0,1
"What motivates John's team to get better, according to John?",facing tough opponents,4,1,0,0,0,0,0,0
What did John's team win at the end of the season?,a trophy,4,1,0,0,0,0,0,0
Where did Tim capture the photography of the sunset over the mountain range?,Smoky Mountains,4,1,0,0,0,1,0,1
How does John feel about being seen as a mentor by some of the younger players?,It feels great,4,1,0,0,0,0,0,0
What does John find rewarding about mentoring the younger players?,"Seeing their growth, improvement, and confidence",4,1,1,1,1,1,0,1
What has John been able to help the younger players achieve?,reach their goals,4,1,0,0,0,0,0,0
What genre is the novel that Tim is writing?,Fantasy,4,1,1,0,0,0,0,1
Who is one of Tim's sources of inspiration for writing?,J.K. Rowling,4,1,1,0,0,0,0,1
What J.K. Rowling quote does Tim resonate with?,"""Turn on the light - happiness hides in the darkest of times.""",4,1,1,1,0,1,0,1
What does John write on the whiteboard to help him stay motivated?,motivational quotes and strategies,4,1,1,1,1,1,0,1
What hobby is a therapy for John when away from the court?,Cooking,4,1,1,1,0,0,0,1
What type of meal does John often cook using a slow cooker?,honey garlic chicken with roasted veg,4,2,0,0,1,1,0,1
How will John share the honey garlic chicken recipe with the other person?,write it down and mail it,4,1,0,0,0,0,0,0
"What was Tim's huge writing issue last week,as mentioned on November 6, 2023?",He got stuck on a plot twist,4,1,1,1,0,0,0,1
What does Tim have that serves as a reminder of hard work and is his prized possession?,a basketball signed by his favorite player,4,1,1,1,0,0,0,1
Why do Tim and John find LeBron inspiring?,LeBron's determination and the epic block in Game 7 of the '16 Finals,4,2,0,0,1,1,0,1
How did John describe the views during their road trip out on the European coastline?,Spectacular,4,1,1,1,1,1,0,1
"What is one of Tim's favorite fantasy TV shows, as mentioned on November 11, 2023?","""That""",4,1,1,1,0,0,0,1
How does Tim stay motivated during difficult study sessions?,Visualizing goals and success,4,1,1,1,1,1,0,1
"What did Tim say about his injury on 16 November, 2023?",The doctor said it's not too serious,4,1,0,0,0,0,0,0
"What was the setback Tim faced in his writing project on 21 November, 2023?",Story based on experiences in the UK didn't go as planned,4,1,0,0,0,0,0,0
How did John overcome his ankle injury from last season?,stayed focused on recovery and worked hard to strengthen his body,4,1,1,1,1,1,0,1
What motivated Tim to keep pushing himself to get better in writing and reading?,Love for writing and reading,4,1,1,1,0,0,0,1
How did John overcome a mistake he made during a big game in basketball?,Worked hard to get better and focused on growth,4,1,0,0,1,1,0,1
What book did John recently finish rereading that left him feeling inspired and hopeful about following dreams?,The Alchemist,4,1,1,1,0,0,0,1
"How did ""The Alchemist"" impact John's perspective on following dreams?",made him think again about following dreams and searching for personal legends,4,1,1,1,1,1,0,1
What is John trying out to improve his strength and flexibility after recovery from ankle injury?,yoga,4,1,1,1,0,0,0,1
How long does John usually hold the yoga pose he shared with Tim?,30-60 seconds,4,1,0,0,1,0,0,1
"Where was the forest picture shared by John on December 1,2023 taken?",near his hometown,4,1,0,1,0,0,0,1
What did Tim recently start learning in addition to being part of a travel club and working on studies?,an instrument,4,1,1,1,1,1,0,1
What instrument is Tim learning to play in December 2023?,violin,4,1,0,0,0,0,0,0
"How long has Tim been playing the piano for, as of December 2023?",about four months,4,1,0,0,0,0,0,0
"What book did Tim just finish reading on 8th December, 2023?","""A Dance with Dragons""",4,1,0,0,0,0,0,0
"Which book did Tim recommend to John as a good story on 8th December, 2023?","""A Dance with Dragons""",4,1,1,1,0,0,0,1
"What is the topic of discussion between John and Tim on 11 December, 2023?",Academic achievements and sports successes,4,3,0,1,0,0,0,1
What kind of game did John have a career-high in assists in?,basketball,4,1,1,1,0,0,0,1
What was John's way of dealing with doubts and stress when he was younger?,practicing basketball outside for hours,4,1,1,1,0,0,0,1
How did John feel about the atmosphere during the big game against the rival team?,electric and intense,4,1,0,0,0,0,0,0
How did John feel after being able to jog without pain?,It was a huge success.,4,1,1,0,0,1,0,1
What kind of deal did John get in December?,Deal with a renowned outdoor gear company,4,1,0,0,0,0,0,0
Where was the photoshoot done for John's gear deal?,In a gorgeous forest,4,1,1,1,0,0,0,1
In which area has John's team seen the most growth during training?,Communication and bonding,4,1,1,1,0,1,0,1
What type of seminars is John conducting?,Sports and marketing seminars,4,1,0,0,0,0,0,0
What activity did Tim do after reading the stories about the Himalayan trek?,visited a travel agency,4,1,0,0,0,0,0,0
What is one cause that John supports with his influence and resources?,youth sports and fair chances in sports,4,1,0,0,0,0,0,0
What new fantasy TV series is Tim excited about?,"""The Wheel of Time""",4,1,0,0,1,1,0,1
Which language is Tim learning?,German,4,1,0,0,1,1,0,1
What language does Tim know besides German?,Spanish,4,1,1,1,0,1,0,1
What book did Tim get in Italy that inspired him to cook?,a cooking book,4,1,0,1,1,1,0,1
What is John's favorite book series?,Harry Potter,4,1,1,0,0,0,0,1
"According to John, who is his favorite character from Lord of the Rings?",Aragorn,4,1,1,1,0,0,0,1
Why does John like Aragorn from Lord of the Rings?,"brave, selfless, down-to-earth attitude",4,1,0,0,1,1,0,1
What kind of painting does John have in his room as a reminder?,a painting of Aragorn,4,1,1,1,0,0,0,1
What is the painting of Aragorn a reminder for John to be in everything he does?,be a leader,4,1,1,0,0,0,0,1
What map does Tim show to his friend John?,a map of Middle-earth from LOTR,4,1,0,0,1,0,0,1
Where will Tim be going for a semester abroad?,Ireland,4,1,1,1,1,1,0,1
Which city in Ireland will Tim be staying in during his semester abroad?,Galway,4,1,0,0,1,1,0,1
What charity event did John organize recently in 2024?,benefit basketball game,4,1,0,0,0,0,0,0
What achievement did John share with Tim in January 2024?,endorsement with a popular beverage company,4,1,0,0,0,0,0,0
What was Johns's reaction to sealing the deal with the beverage company?,"crazy feeling, sense of accomplishment",4,1,0,0,0,0,0,0
Which city did John recommend to Tim in January 2024?,Barcelona,4,1,0,0,0,0,0,0
Which year did Audrey adopt the first three of her dogs?,2020,2,1,0,0,0,0,0,0
When did Andrew start his new job as a financial analyst?,"The week before March 27, 2023",2,1,1,1,1,1,0,1
What kind of indoor activities has Andrew pursued with his girlfriend?,"boardgames, volunteering at pet shelter, wine tasting, growing flowers",1,4,0,0,0,0,0,0
What kind of places have Andrew and his girlfriend checked out around the city?,"cafes, new places to eat, open space for hikes, pet shelter, wine tasting event, park",1,8,1,1,0,0,0,1
When did Audrey make muffins for herself?,The week of April 3rd to 9th,2,1,0,0,0,0,0,0
When did Audrey see a hummingbird?,first week of May 2023,2,1,0,0,1,1,0,1
When did Audrey adopt Pixie?,"around April 2, 2023",2,1,0,0,1,1,0,1
How many years passed between Audrey adopting Pixie and her other three dogs?,three years,2,2,0,0,1,1,0,1
Did Andrew have a pet dog during March 2023?,No,2,1,0,0,0,0,0,0
What kind of classes or groups has Audrey joined to take better care of her dogs?,"positive reinforcement training workshop to bond with pets, dog training course, agility training course, grooming course, dog-owners group",1,5,1,0,0,0,0,1
When did Audrey's positive reinforcement training course for dogs take place?,"June, 2023",2,1,0,0,0,0,0,0
When did Andrew go rock climbing?,"June 11, 2023",2,1,0,0,0,0,0,0
What outdoor activities has Andrew done other than hiking in nature?,"rock climbing, fishing, camping",1,3,0,0,0,0,0,0
When did Audrey move to a new place?,June 2023,2,1,1,0,0,0,0,1
What is something that Andrew really misses while working in the city?,being in nature,1,2,0,0,0,0,0,0
What is a shared frustration regarding dog ownership for Audrey and Andrew?,Not being able to find pet friendly spots.,1,2,0,0,0,0,0,0
When is Andrew going to go hiking with Audrey?,August,2,1,0,0,0,0,0,0
How many times did Audrey and Andew plan to hike together?,three times,1,3,0,0,0,0,0,0
Where did Audrey get Pixie from?,breeder,1,2,0,0,1,1,0,1
What is an indoor activity that Andrew would enjoy doing while make his dog happy?,cook dog treats,3,2,0,0,0,0,0,0
Which meat does Audrey prefer eating more than others?,chicken,3,2,0,0,0,0,0,0
What are the classes that Audrey took for her dogs to?,"Positive reinforcement training class for bonding, dog training course, agility class",1,3,0,0,0,0,0,0
Where did Andrew go during the first weekend of August 2023?,camping with girlfriend,2,1,0,0,0,0,0,0
What are some problems that Andrew faces before he adopted Toby?,Finding the right dog and pet-friendly apartments close to open spaces,1,4,0,0,0,0,0,0
Did Audrey and Andrew grow up with a pet dog?,Yes,1,2,0,0,0,0,0,0
When did Andrew and his girlfriend go fishing?,"weekend before August 24, 2023",2,1,1,1,1,1,0,1
What is the biggest stressor in Andrew's life besides not being able to hike frequently?,work,1,4,0,0,0,0,0,0
How does Andrew feel about his current work?,Stressful,1,4,0,0,0,0,0,0
What is something that Audrey often dresses up her dogs with?,Hats,1,3,0,0,0,0,0,0
What are the names of Audrey's dogs?,"Pepper, Precious, Panda, and Pixie",1,3,1,0,0,0,1,1
When is Andrew planning to go to the beach with his girlfriend?,November 2023,2,1,0,0,1,1,0,1
What has Andrew done with his dogs?,Taking walks and hiking,1,2,0,0,0,0,0,0
What kind of tattoo does Audrey have on her arm?,Tattoos of her four dogs.,1,3,1,1,1,1,0,1
What can Andrew potentially do to improve his stress and accomodate his living situation with his dogs?,Change to a hybrid or remote job so he can move away from the city to the suburbs to have a larger living space and be closer to nature.,3,3,0,0,0,0,0,0
How many months passed between Andrew adopting Toby and Buddy?,three months,2,2,0,0,0,0,0,0
What are the names of Andrew's dogs?,"Toby, Scout, Buddy",1,3,0,0,1,1,0,1
What are some foods that Audrey likes eating?,"chicken pot pie, chicken roast, blueberry muffins, sushi",1,4,0,0,0,0,0,0
When did Audrey get into an accident in the park?,"between October 19 and 24, 2023",2,1,0,0,0,0,0,0
When did Andrew and his girlfriend go on a wine tasting trip?,"the weekend before October 24, 2023",2,1,1,1,0,0,0,1
What did Audrey get wtih having so many dogs?,Companionship,1,2,0,0,0,0,0,0
What is a good place for dogs to run around freely and meet new friends?,The dog park,1,3,0,0,0,0,0,0
What are the breeds of Audrey's dogs?,Mongrel mixed with Lab for Pepper and Panda. Mongrel mixed with Chihuahua for Precious and Pixie.,1,2,1,0,0,0,0,1
What technique is Audrey using to discipline her dogs?,Positive reinforcement,1,2,0,0,0,0,0,0
Which US state do Audrey and Andrew potentially live in?,Minnesota,3,1,0,0,0,0,0,0
Which national park could Audrey and Andrew be referring to in their conversations?,Voyageurs National Park,3,2,1,1,0,0,0,1
"How many pets will Andrew have, as of December 2023?",three,2,3,0,0,0,0,0,0
"How many pets did Andrew have, as of September 2023?",one,2,2,0,0,0,0,0,0
How many months passed between Andrew adopting Buddy and Scout,one month,2,2,0,0,0,0,0,0
What does Andrew view his pets as?,Family,1,2,0,0,0,0,0,0
What does Audrey view her pets as?,Family,1,2,0,0,0,0,0,0
What is a skill that Audrey learned to take care of her dogs?,Grooming,1,2,0,0,0,0,0,0
What items has Audrey bought or made for her dogs?,"dog tags, toys, dog beds, collars",1,4,0,0,0,0,0,0
What is something that Andrew could do to make birdwatching hobby to fit in his city schedule?,Install a bird feeder outside where he can see the birds without going outdoors.,3,4,0,0,0,0,0,0
What is a career that Andrew could potentially pursue with his love for animals and nature?,Park ranger or a similar position working for the National Park Services.,3,4,0,0,0,0,0,0
What activity do Audrey's dogs like to do in the dog park?,"Play fetch with ball and frisbee, run around and meet other dogs",1,5,0,0,0,1,0,1
When did Andrew make his dogs a fun indoor area?,"few days before November 22, 2023",2,1,0,0,0,0,0,0
Has Andrew moved into a new apartment for his dogs?,No,1,2,0,0,0,0,0,0
When did Andrew adopt Scout?,few days before November 2023,2,1,0,0,0,0,0,0
"What did Audrey eat for dinner on October 24, 2023?",sushi,2,1,0,0,0,0,0,0
"How long has it been since Andrew adopted his first pet, as of November 2023?",4 months,2,1,0,0,0,0,0,0
How many dogs does Andrew have?,3,1,3,0,0,0,0,0,0
Which specific type of bird mesmerizes Andrew?,Eagles,4,1,0,0,1,0,0,1
What did Andrew express missing about exploring nature trails with his family's dog?,The peaceful moments,4,1,1,1,0,1,0,1
What kind of pastries did Andrew and his girlfriend have at the cafe?,"croissants, muffins, and tarts",4,1,0,0,0,0,0,0
What kind of flowers does Audrey have a tattoo of?,sunflowers,4,1,0,0,0,0,0,0
What does Audrey do during dog playdates in the park?,chat with people while dogs make new friends,4,1,0,0,0,1,0,1
What type of dog was Andrew looking to adopt based on his living space?,smaller dog,4,1,1,1,0,0,0,1
"Where does Andrew want to live to give their dog a large, open space to run around?",near a park or woods,4,1,1,1,1,1,0,1
Why did Audrey sign up for a workshop about bonding with pets?,Strengthen the bond with her pets,4,1,1,0,0,0,0,1
How did Audrey hear about the workshop on bonding with pets?,Saw a workshop flyer at the local pet store,4,1,0,0,0,1,0,1
What type of training was the workshop Audrey signed up for in May 2023?,Positive reinforcement training,4,1,1,0,0,1,0,1
How did Audrey describe she dog he met at the pet store?,Friendly and playful,4,1,1,1,0,0,0,1
Why did Audrey think positive reinforcement training is important for pets?,To have pets learn how to behave in a positive way,4,1,1,1,1,1,0,1
What challenge is Andrew facing in their search for a pet?,Finding a pet-friendly spot in the city,4,1,0,0,0,0,0,0
How does Andrew feel about their search for a pet-friendly place?,Discouraged but determined,4,1,0,0,1,0,0,1
What outdoor activities does Andrew plan on trying after the rock climbing class?,kayaking and bungee jumping,4,1,1,1,1,1,0,1
How long does Audrey typically walk her dogs for?,about an hour,4,1,0,0,1,1,0,1
"What did Audrey set up in the backyard for their dogs on June 26, 2023?",a doggy play area with agility stuff and toys,4,1,1,1,0,0,0,1
"What did Audrey and her friends stumble across during a hike a few years back, as mentioned on June 26, 2023?",a stunning lake in the mountains,4,1,1,0,0,0,0,1
"What is Audrey's favorite recipe that she shares with Andrew on 3 July, 2023?",Chicken Pot Pie,4,1,1,0,0,0,0,1
"What dish is one of Audrey's favorite dishes that includes garlic and is shared with Andrew on 3 July, 2023?",Roasted Chicken,4,1,0,0,0,0,0,0
"What did Andrew and his GF do on the Monday before July 24, 2023?",volunteered at a pet shelter,4,1,1,1,0,0,0,1
What is the name of Audrey's childhood dog?,Max,4,1,1,0,0,0,0,1
"What special memories does Audrey have with her childhood dog, Max?","Long walks in the neighborhood, exploring new paths, sharing worries and hopes",4,1,0,0,0,0,0,0
What are some of the personalities of Audrey's four fur babies?,"oldest is relaxed, second is playful, third can be naughty but loves cuddles, youngest is full of life",4,1,0,0,0,0,0,0
"What type of classes did Audrey start with her pups recently on 4 August, 2023?",Agility classes,4,1,0,0,0,0,0,0
How often does Audrey take her pups to the park for practice?,Twice a week,4,1,0,0,0,0,0,0
How long did the trail hike that Audrey went on with her pups take?,Two hours,4,1,0,0,1,1,0,1
What advice did Audrey give to Andrew regarding grooming Toby?,"Grooming slowly and gently, paying attention to sensitive areas like ears and paws. And remember to stay patient and positive throughout the grooming process.",4,1,0,0,1,0,0,1
What is essential to keep the dogs looking good according to Audrey?,"Daily brushing, regular baths, nail trims, and lots of love",4,1,1,0,0,0,0,1
What did Audrey organize with the neighbors' dogs?,a doggy playdate,4,1,0,0,0,0,0,0
What did Audrey do to give her dogs extra comfort as the weather cooled down?,Got new beds for them,4,1,1,1,0,0,0,1
How does Audrey describe the new beds for her dogs?,Super cozy and comfy,4,1,0,0,0,0,0,0
How did Audrey calm down her dog after the leash incident?,"Petted, hugged, spoke calmly and slowly walked the dog",4,1,0,0,0,0,0,0
How often does Audrey take her dogs for walks?,Multiple times a day,4,1,0,0,0,0,0,0
What kind of flowers does Audrey take care of?,Peruvian Lilies,4,1,0,0,0,0,0,0
What did Andrew learn from reading books about ecological systems?,"about animals, plants, and ecosystems and how they work together",4,1,0,0,1,1,0,1
What did Andrew suggest as a way to reduce carbon footprint?,biking or using public transport,4,1,1,1,1,1,1,1
How does Andrew suggest helping the planet while also training the body?,by biking,4,1,1,1,1,1,1,1
"What did Audrey do with her pups over the weekend before 4th October, 2023?",Took them to the beach,4,1,1,1,0,0,0,1
What was the reason Audrey couldn't walk her dogs for a period of time?,Knee injury,4,1,1,0,0,0,0,1
What type of jewelry does Audrey make?,Jewelry made from recycled objects,4,1,0,0,1,0,0,1
Why does Audrey make jewelry out of recycled objects?,To show love for creativity and sustainability,4,1,1,1,1,1,0,1
What organization does Audrey donate a portion of his profits to?,Animal shelter,4,1,1,1,0,0,0,1
How does Audrey help out the animal shelter?,By donating a portion of his profits frmo selling jwelery,4,1,1,1,0,0,0,1
What type of games do Audrey's dogs like to play at the park?,Fetch and Frisbee,4,1,0,0,0,0,0,0
What did Audrey make to thank her neighbors?,Goodies,4,1,1,1,0,0,0,1
How do Audrey's dogs react to snow?,Confused,4,1,0,0,1,1,0,1
How does Audrey describe her dogs' response to snow?,"They definitely prefer nice, sunny days in the grass.",4,1,0,0,1,1,0,1
What kind of experiences are Audrey's dogs the best companions for?,Exploring the great outdoors,4,1,0,0,0,0,0,0
What activity do Andrew and Buddy enjoy doing together?,Walking,4,1,1,0,0,0,0,1
What do Andrew and Buddy like doing on walks?,Checking out new hiking trails,4,1,0,0,0,0,1,1
What cuisine did Andrew recently try at a new spot in town?,sushi,4,1,1,1,0,0,0,1
Which type of sushi did Audrey suggest trying first to someone new to sushi?,California or salmon roll,4,1,1,0,1,1,0,1
What type of date is Andrew going on Sunday?,picnic date,4,1,1,1,0,0,0,1
"What did Andrew and Audrey plan to do on the Saturday after October 28, 2023?",Go hiking,4,1,0,0,0,0,0,0
What aspect of autumn does Andrew find beautiful?,The autumn colors,4,1,1,1,1,1,1,1
What did Audrey do in November 2023 to better take care of her dogs?,Joined a dog owners group,4,1,0,0,0,0,0,0
How often does Audrey meet up with other dog owners for tips and playdates?,Once a week,4,1,1,1,0,1,0,1
What did Audrey share to show ways to keep dogs active in the city?,photography of a basket full of stuffed animals,4,1,0,0,0,0,0,0
What type of activities does Audrey suggest for mental stimulation of the dogs?,"puzzles, training, hide-and-seek",4,1,0,0,0,1,0,1
"What is Andrew planning to do with Scout, Toby, and Buddy?",Take them to a nearby park,4,1,1,1,0,1,0,1
What did Andrew get for Scout to create a safe and fun space for them?,"essentials like a bed, toys, and puppy pads",4,1,0,0,0,0,0,0
What are John's suspected health problems?,Obesity,3,1,0,0,0,0,0,0
"Which recreational activity was James pursuing on March 16, 2022?",bowling,2,1,0,0,0,0,0,0
Which places or events have John and James planned to meet at?,"VR Club, McGee's, baseball game",1,4,0,0,0,0,0,0
Do both James and John have pets?,No,1,2,1,0,0,0,0,1
When did John resume playing drums in his adulthood?,February 2022,2,1,0,0,0,0,0,0
What are John and James' favorite games?,"John's favorite game is CS:GO, and James's is Apex Legends.",1,2,0,0,0,0,0,0
Does James live in Connecticut?,Likely yes,3,1,0,0,0,0,0,0
In which state is the shelter from which James adopted the puppy?,Connecticut.,3,1,1,0,0,0,0,1
How many pets does James have?,Three dogs.,1,3,0,0,0,0,0,0
